 ,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span/Depth,Span Encoding (T_1),Parallel Algorithm Span References,Parallel Algorithm Work,Work Encoding (T_inf),Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Model Encoding,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",# of Proc Encoding,Quantum?,GPU-based?,Other References,Problem Statement,Notes,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
33,Generating Random Permutations,1,General Permutations,,,,,,,,,[https://www.sciencedirect.com/science/article/pii/0304397595001980 Alonso et al. (1996)],Alonso et al.,1996,https://www.sciencedirect.com/science/article/pii/0304397595001980,,,,,,,,O(log^2 n),O(log^2 n),,https://www.sciencedirect.com/science/article/pii/0304397595001980,O(n log^2 n),,https://www.sciencedirect.com/science/article/pii/0304397595001980,no,n: number of elements to permute,,,,PRAM,,,,,,,,,,1,,0,,0,1,O(n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
33,Generating Random Permutations,1,General Permutations,,,,,,,,,[https://dl.acm.org/doi/pdf/10.1145/103418.103453 Matias et al. (1991)],Matias et al.,1991,https://dl.acm.org/doi/pdf/10.1145/103418.103453,,,,,,,,O(log*n),O(log*n),,https://link.springer.com/chapter/10.1007/3-540-54233-7_151,O(n),,https://link.springer.com/chapter/10.1007/3-540-54233-7_151,no,n: number of elements to permute,,,,CRCW PRAM,130,,,,,,,,,1,,0,,0,1,O(n),,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Convex Optimization (Non-linear),0,,,,,,,,,,,"Richtárik, Takáč",2016,https://link.springer.com/content/pdf/10.1007/s10107-015-0901-6.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Convex Optimization (Non-linear),0,,,,,,,,,,,"Recht, Re, Wright, Niu",2011,https://proceedings.neurips.cc/paper_files/paper/2011/file/218a0aefd1d1a4be65601cc6ddc1520e-Paper.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Convex Optimization (Non-linear),0.001,,,,,,,,,,,"Cevher, Becker, Schmidt (Consensus ADMM - first order mehtod)",2014,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6879615,,,,,,,,O(n*n/m),O(n*n/m),,,O(n^2),,,,,,,,,,,,,,,,,,,,0,,0,1,m <= n,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
34,Convex Optimization (Non-linear),0,,,,,,,,,,,"Han, Lou",1988,https://epubs.siam.org/doi/pdf/10.1137/0326019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Convex Optimization (Non-linear),0,,,,,,,,,,,"Woodworth, Wang, Smith, McMahan, Srebro",2018,https://proceedings.neurips.cc/paper_files/paper/2018/file/3ec27c2cff04bc5fd2586ca36c62044e-Paper.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Convex Optimization (Non-linear),0,,,,,,,,,,,Nemirovski,1994,https://www.sciencedirect.com/science/article/pii/S0885064X84710259/pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Convex Optimization (Non-linear),0,,,,,,,,,,,"Bubeck, Jiang, Lee, Li, Sidford",2019,https://proceedings.neurips.cc/paper_files/paper/2019/file/3c0cd9bcd0686e8bc0a9047eae120cc5-Paper.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Convex Optimization (Non-linear),0,,,,,,,,,,,"Daneshmand, Facchinei, Kungurtsev, Scutari",2015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7113892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Convex Optimization (Non-linear),0,,,,,,,,,,,"Necoara, Clipici",2013,https://arxiv.org/pdf/1302.3092.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Convex Optimization (Non-linear),0,,,,,,,,,,,"Carmon, Jambulapati, Jin, Lee, Liu, Sidford, Tian",2023,https://arxiv.org/pdf/2301.00457.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Convex Optimization (Non-linear),0,,,,,,,,,,,"Facchinei, Scutari",2015,https://ieeexplore.ieee.org/iel7/78/4359509/07029716.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Convex Optimization (Non-linear),0,,,,,,,,,,,Chen,1987,https://minds.wisconsin.edu/bitstream/handle/1793/58898/TR731.pdf?sequence=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,All Permutations,1,,,,,,,O(n!/k * n),,,[https://academic.oup.com/comjnl/article/30/5/433/366802 Akl (1987)],Akl,1987,https://academic.oup.com/comjnl/article/30/5/433/366802,,,,,,,,O(n!/k * n),O(n),,https://academic.oup.com/comjnl/article/30/5/433/366802,O(n! * n),,https://link.springer.com/chapter/10.1007/3-540-54233-7_151,no,"n: number of elements to permute
k: number of processors",,,,SIMD,,,,,,,,,,0,,0,,0,1,O(k),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
40,Maximum-Weight Matching,0.001,Bipartite Maximum-Weight Matching,,,,1,1,O(n/w),,,"[https://www.sciencedirect.com/science/article/abs/pii/S0020019005003108 Fayyazi, Kaeli, Meleis (2006)]","Fayyazi, Kaeli, Meleis",2006,https://www.sciencedirect.com/science/article/abs/pii/S0020019005003108,,,,0,0,2.6,n: 2.6,O(n/w),O(1)??,,,O(n^6)?,,,no,"n: number of vertices
m: number of edges
w: processor parameter; w≥1",n,,,CRCW PRAM?,,,1,n: 1,O(1),Derived: dynamic programming and making use of Monge matrix properties,1,0,,0,,0,,0,1,"O(n^(max(2w, 4+w)))",,0,0,,"In computer science, the maximum weight matching problem is the problem of finding, in a weighted graph, a matching in which the sum of weights is maximized.",,,,,,,,,,,63,,,,,,,,,1,,,Combinatorics
40,Maximum-Weight Matching,1,Bipartite Maximum-Weight Matching (weights of polynomial magnitude),,,,1,1,O(log^3 n),,,[https://www.annualreviews.org/doi/pdf/10.1146/annurev.cs.01.060186.001213 Galil (1986)],Galil,1986,https://www.annualreviews.org/doi/pdf/10.1146/annurev.cs.01.060186.001213,,,,,,,,O(log^3 n),O(log^3 n),,https://www.annualreviews.org/doi/pdf/10.1146/annurev.cs.01.060186.001213,O(n^(2+omega) log^3 n),,,no,"n: number of vertices
m: number of edges
omega: exponent on matrix multiplication complexity",n,,,CREW PRAM,120,,1,n: 1,O(1),Derived: dynamic programming and making use of Monge matrix properties,1,0,,1,Monte Carlo,0,,0,1,O(n^(2+omega)),,0,0,,"In computer science, the maximum weight matching problem is the problem of finding, in a weighted graph, a matching in which the sum of weights is maximized.",,,,,,,,,,,63,,,,,,,,,1,,,Combinatorics
40,Maximum-Weight Matching,1,General Maximum-Weight Matching,,,,1,1,O(n^3/p + n^2 log n),,,"[https://ieeexplore.ieee.org/abstract/document/143503 Osiakwan, Akl (1990)]","Osiakwan, Akl",1990,https://ieeexplore.ieee.org/abstract/document/143503,,,,0,0,2.6,n: 2.6,O(n^3/p + n^2 log n),O(n^2 log n),,https://ieeexplore.ieee.org/abstract/document/143503,O(n^3),,https://ieeexplore.ieee.org/abstract/document/143503,yes,"n: number of vertices
m: number of edges
p: number of processors; p≤n",n,,,EREW PRAM,110,,1,n: 1,O(1),Derived: dynamic programming and making use of Monge matrix properties,1,0,,0,,0,,0,1,p,,0,0,,"In computer science, the maximum weight matching problem is the problem of finding, in a weighted graph, a matching in which the sum of weights is maximized.",,,,,,,,,,,63,,,,,,,,,1,,,Combinatorics
40,Maximum-Weight Matching,0,General Maximum-Weight Matching,,,,1,1,,,,"[https://dspace.jaist.ac.jp/dspace/bitstream/10119/4915/1/C3966.pdf Uehara, Chen (2000)]","Uehara, Chen",2000,https://dspace.jaist.ac.jp/dspace/bitstream/10119/4915/1/C3966.pdf,,,,,,,,,,,,,,,,"n: number of vertices
m: number of edges",n,,,,,,1,n: 1,O(1),Derived: dynamic programming and making use of Monge matrix properties,1,0,,0,,0,,0,1,,,0,0,,"In computer science, the maximum weight matching problem is the problem of finding, in a weighted graph, a matching in which the sum of weights is maximized.",,,,,,,,,,,63,,,,,,,,,1,,,Combinatorics
40,Maximum-Weight Matching,1,General Maximum-Weight Matching (weights of polynomial magnitude),,,,1,1,O(log^3 n),,,[https://www.annualreviews.org/doi/pdf/10.1146/annurev.cs.01.060186.001213 Galil (1986)],Galil,1986,https://www.annualreviews.org/doi/pdf/10.1146/annurev.cs.01.060186.001213,,,,,,,,O(log^3 n),O(log^3 n),,https://www.annualreviews.org/doi/pdf/10.1146/annurev.cs.01.060186.001213,O(n^(3+omega) log^3 n),,,no,"n: number of vertices
m: number of edges
omega: exponent on matrix multiplication complexity",n,,,CREW PRAM,120,,1,n: 1,O(1),Derived: dynamic programming and making use of Monge matrix properties,1,0,,1,Monte Carlo,0,,0,1,O(n^(3+omega)),,0,0,,"In computer science, the maximum weight matching problem is the problem of finding, in a weighted graph, a matching in which the sum of weights is maximized.",,,,,,,,,,,63,,,,,,,,,1,,,Combinatorics
41,Constructing Eulerian Trails in a Graph,1,Constructing Eulerian Trails in a Graph,,,,1,1,O(log V),,,"[https://www.sciencedirect.com/science/article/pii/0022000084900035 Atallah, Vishkin (1984)]","Atallah, Vishkin",1984,https://www.sciencedirect.com/science/article/pii/0022000084900035,,,,,,,,O(log V),O(log V),,https://www.sciencedirect.com/science/article/pii/0022000084900035,O(E log V),,,no,"V: number of vertices
E: number of edges",V,,,CRCW PRAM,130,,#N/A,n: 1,O(1),Derived: dynamic programming and making use of Monge matrix properties,1,0,,0,,0,,0,1,O(E),,0,0,,"In graph theory, an Eulerian trail (or Eulerian path) is a trail in a finite graph that visits every edge exactly once (allowing for revisiting vertices). Similarly, an Eulerian circuit or Eulerian cycle is an Eulerian trail that starts and ends on the same vertex.",,,,,,,,,,,63,,,,,,,,,1,,,Combinatorics
41,Constructing Eulerian Trails in a Graph,1,Constructing Eulerian Trails in a Graph,,,,1,1,O(log V),,,"[https://dl.acm.org/doi/abs/10.1145/800057.808688 Awerbuch, Israeli, Shiloach (1984)]","Awerbuch, Israeli, Shiloach",1984,https://dl.acm.org/doi/abs/10.1145/800057.808688,,,,,,,,O(log V),O(log V),,https://dl.acm.org/doi/abs/10.1145/800057.808688,O(E log V),,,no,"V: number of vertices
E: number of edges",V,,,CRCW PRAM?,,,#N/A,n: 1,O(1),Derived: dynamic programming and making use of Monge matrix properties,1,0,,0,,0,,0,1,O(E),,0,0,,"In graph theory, an Eulerian trail (or Eulerian path) is a trail in a finite graph that visits every edge exactly once (allowing for revisiting vertices). Similarly, an Eulerian circuit or Eulerian cycle is an Eulerian trail that starts and ends on the same vertex.",,,,,,,,,,,63,,,,,,,,,1,,,Combinatorics
41,Constructing Eulerian Trails in a Graph,1,Constructing Eulerian Trails in a Graph,,,,1,1,O(log^2 V),,,"[https://www.worldscientific.com/doi/abs/10.1142/S0129626493000265 Caceres, Deo, Sastry, Szwarcfiter (1993)]","Caceres, Deo, Sastry, Szwarcfiter",1993,https://www.worldscientific.com/doi/abs/10.1142/S0129626493000265,,,,,,,,O(log^2 V),O(log^2 V),,,O(E log V),,,no,"V: number of vertices
E: number of edges",V,,,CREW PRAM,120,,#N/A,n: 1,O(1),Derived: dynamic programming and making use of Monge matrix properties,1,0,,0,,0,,0,1,O(E/log V),,0,0,,"In graph theory, an Eulerian trail (or Eulerian path) is a trail in a finite graph that visits every edge exactly once (allowing for revisiting vertices). Similarly, an Eulerian circuit or Eulerian cycle is an Eulerian trail that starts and ends on the same vertex.",,,,,,,,,,,63,,,,,,,,,1,,,Combinatorics
41,Constructing Eulerian Trails in a Graph,1,Constructing Eulerian Trails in a Graph,,,,1,1,O(log V),,,"[https://www.osti.gov/etdeweb/biblio/20142318 Park, Ryu (1999)]","Park, Ryu",1999,https://www.osti.gov/etdeweb/biblio/20142318,,,,,,,,O(log V),O(log V),,https://www.osti.gov/etdeweb/biblio/20142318,O(E log V),,,no,"V: number of vertices
E: number of edges",V,,,Priority CRCW PRAM,133,,#N/A,n: 1,O(1),Derived: dynamic programming and making use of Monge matrix properties,1,0,,1,Las Vegas,0,,0,1,O(E),,0,0,,"In graph theory, an Eulerian trail (or Eulerian path) is a trail in a finite graph that visits every edge exactly once (allowing for revisiting vertices). Similarly, an Eulerian circuit or Eulerian cycle is an Eulerian trail that starts and ends on the same vertex.",,,,,,,,,,,63,,,,,,,,,1,,,Combinatorics
41,Constructing Eulerian Trails in a Graph,0.001,Constructing Eulerian Trails in a Graph,,,,1,1,,,,[https://onlinelibrary.wiley.com/doi/abs/10.1002/int.10061 Tambouratzis (2002)],Tambouratzis,2002,https://onlinelibrary.wiley.com/doi/abs/10.1002/int.10061,,,,,,,,,,,,,,,no,"V: number of vertices
E: number of edges",V,,,,,,#N/A,n: 1,O(1),Derived: dynamic programming and making use of Monge matrix properties,1,0,,0,,0,,0,1,,,0,0,,"In graph theory, an Eulerian trail (or Eulerian path) is a trail in a finite graph that visits every edge exactly once (allowing for revisiting vertices). Similarly, an Eulerian circuit or Eulerian cycle is an Eulerian trail that starts and ends on the same vertex.",,,,,,,,,,,63,,,,,,,,,1,,,Combinatorics
41,Constructing Eulerian Trails in a Graph,1,Constructing Eulerian Trails in a Graph,,,,1,1,O((E log p)/p)?,,,"[https://ieeexplore.ieee.org/document/1250336 Caceres, Nasu (2003)]","Caceres, Nasu",2003,https://ieeexplore.ieee.org/document/1250336,,,,,,,,O((E log p)/p)?,O(log V),,https://ieeexplore.ieee.org/document/1250336,O(E log p),,,no,"V: number of vertices
E: number of edges
p: number of processors",V,,,BSP,400,,#N/A,n: 1,O(1),Derived: dynamic programming and making use of Monge matrix properties,1,0,,0,,0,,0,1,p,,0,0,,"In graph theory, an Eulerian trail (or Eulerian path) is a trail in a finite graph that visits every edge exactly once (allowing for revisiting vertices). Similarly, an Eulerian circuit or Eulerian cycle is an Eulerian trail that starts and ends on the same vertex.",,,,,,,,,,,63,,,,,,,,,1,,,Combinatorics
43,Line Drawing,1,Single Line Drawing,,,,1,1,O(n/p)?,,,[https://ieeexplore.ieee.org/abstract/document/59037 Pang (1990)],Pang,1990,https://ieeexplore.ieee.org/abstract/document/59037,,,,,,,,O(n/p)?,O(1)?,,,O(n),,,no,"n: number of pixels the line goes through
p: number of processors",n,,,SIMD,,,,,,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
43,Line Drawing,1,Single Line Drawing,,,,1,1,O(n/p),,,[https://ieeexplore.ieee.org/document/59038 Wright (1990)],Wright,1990,https://ieeexplore.ieee.org/document/59038,,,,,,,,O(n/p),O(1),,,O(n),,,no,"n: number of pixels the line goes through
p: number of processors",n,,,MIMD,,,,,,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
43,Line Drawing,1,Single Line Drawing,,,,1,1,O(n/p)?,,,"[https://link.springer.com/chapter/10.1007/3-540-56346-6_34 Graham, Iyengar, Zheng (1992)]","Graham, Iyengar, Zheng",1992,https://link.springer.com/chapter/10.1007/3-540-56346-6_34,,,,,,,,O(n/p)?,O(1)?,,,O(n),,,no,"n: number of pixels the line goes through
p: number of processors",n,,,MIMD,,,,,,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
43,Line Drawing,0.001,,,,,1,1,,,,"[https://ieeexplore.ieee.org/abstract/document/874642 Marti, Velasco (2000)]","Marti, Velasco",2000,https://ieeexplore.ieee.org/abstract/document/874642,,,,,,,,,,,,,,,,n: number of pixels the line goes through,n,,,Memory-Processor Array?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Line Drawing,0.001,Multiple Constant-Sized Line Segments Drawing,,,,1,1,,,,"[https://link.springer.com/chapter/10.1007/3-540-56346-6_34 Graham, Iyengar, Zheng (1992)]","Graham, Iyengar, Zheng",1992,https://link.springer.com/chapter/10.1007/3-540-56346-6_34,,,,,,,,,,,,,,,no,"n: number of lines, each of constant size?",n,,,SIMD,,,,,,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
44,Polygon Clipping,0,,,,,,,,,,,Puri,2015,https://scholarworks.gsu.edu/cgi/viewcontent.cgi?article=1099&context=cs_diss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Root Computation,0.001,General Root Computation,,approximates roots of polynomial that only has real roots,,,,,,,,"Narendran, Tiwari",1992,https://dl.acm.org/doi/pdf/10.1145/140901.140920,,,,,,,,$O(n^2(\log{n} + \log^2{X}))$,,,,,,,,"$n$: degree of polynomial, assumes n distinc real roots
 $x$: rational point 
 $\mu>0$ s.t. $2^\mu x$ is an integer
 $X=||2^\mu x||$",,,,shared memory?,,,,,,,,,,,,,,,,20?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Root Computation,0.001,General Root Computation,,,,,,,,,,"Ben-Or, Feig, Kozen, Tiwari (BFKT)",1986,https://dl.acm.org/doi/pdf/10.1145/12130.12165,,,,,,,,,$O(\log{n})$,,https://www.sciencedirect.com/science/article/pii/S0022000005800613,,,,,"$n$: degree of polynomial
 $m$: bits in coefficients (?) // $2^m+1$: upper bound on root absolute value
 $2^{-\mu}$: error bound",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Root Computation,0.001,General Root Computation,,,,,,,,,,"MROOT - Ben-Or, Tiwari",1990,https://www.sciencedirect.com/science/article/pii/0885064X90900329,,,,,,,,,,,,from sequential description: $O(n^2(m+\mu)\log^6{m+n+mu})$,,,,"$n$: degree of polynomial
 $2^{-\mu}$: error bound
 $a,b$: interval bounds (?), $a\leq b$
 $2^m$: upper bound (?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Root Computation,0.001,General Root Computation,,,,,,,,,,Neff,1994,https://www.sciencedirect.com/science/article/pii/S0022000005800613,,,,,,,,$O(\log^3{n+m+\mu})$,$O(\log^3{n+m+\mu})$,,,$O(\log^3{n+m+\mu} (n+m+\mu)^f$,,,,"$n$: degree of polynomial
 $2^m$: upper bound
 $2^{-\mu}$: error bound
 $f$: positive constant",,,,"""an attempt has been made to avoid much of the formalization of an exact model of parallel computation""; refrences BFKT sand they use EREW PRAM",110,,,,,,,,,,,,,,,$O(n+m+mu)^f$,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Root Computation,1,General Root Computation,,,,,,,,,,"parallel Graeffe's method - Rice, Jamieson",1989,https://ieeexplore.ieee.org/abstract/document/21130,,,,,,,,$O(1)$,$O(1)$,,,$O(n)$,,,,$n$: degree of polynomial,,,,SIMD,,,,,,,,,,,,,,,,$n+1$,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Root Computation,0,,,,,,,,,,,Miranker,1969,https://ieeexplore.ieee.org/abstract/document/5391814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Root Computation,0,,,,,,,,,,,"Lucas, Jana",2010,https://link.springer.com/article/10.1007/s11227-009-0312-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Root Computation,0,,,,,,,,,,,"Ellis, Watson",1984,https://www.sciencedirect.com/science/article/pii/0898122184900427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Root Computation,1,General Root Computation,,,,,,,,,,Row-column mapping - Jana (1),2006,https://www.sciencedirect.com/science/article/pii/S0167819106000020,,,,,,,,$6 n^0.5 -6$ electronic moves +2 OTIS moves,$O(n^0.5)$,,,$O(n^2.5)$,,,,$n$: order of polynomial,,,,Optical transpose interconnection system (OTIS); OTIS-mesh,,,,,,,,,,,,,,,,$n^2$,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Root Computation,1,General Root Computation,,,,,,,,,,grouping mapping - Jana (2),2006,https://www.sciencedirect.com/science/article/pii/S0167819106000020,,,,,,,,$4 n^0.5 -4$ electronic moves +1 OTIS moves,$O(n^0.5)$,,,$O(n^2.5)$,,,,$n$: order of polynomial,,,,Optical transpose interconnection system (OTIS); OTIS-mesh,,,,,,,,,,,,,,,,$n^2$,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Root Computation,0.001,General Root Computation,,,,,,,,,,"Serial Algorithm Parallel function Evaluation (SAPE) - Katz, Franklin (1)",1985,https://epubs.siam.org/doi/abs/10.1137/0906023,,,,,,,,,,,,,,,,"$n$:
 $a,b$: endpoint values $a<b$",,,,MIMD,,,,,,,,,,,,,,,,$n$,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Root Computation,0.001,General Root Computation,,,,,,,,,,"Parallel Algorithm Serial Function Evaluation (PASE) - Katz, Franklin (2)",1985,https://epubs.siam.org/doi/abs/10.1137/0906023,,,,,,,,,,,,,,,,"$n$:
 $a,b$: endpoint values $a<b$",,,,MIMD,,,,,,,,,,,,,,,,$n$,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Root Computation,0,,,,,,,,,,,Pinkert,1976,https://dl.acm.org/doi/pdf/10.1145/355705.355710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Nearest Neighbor Search,0.001,k Nearest Neighbors Search,,,,,,,,,,"Two-dimensional partitioning with query point replication - Xiao, Biros (1)",2016,https://epubs.siam.org/doi/abs/10.1137/15M1026377,,,,,,,,"$O(mnd/p + 1/p^0.5 (m+n) + mn/p \log{n/p^0.5} + k\log{p^0.5})$ for large k
 $O(mnd/p + 1/p^0.5 (m+n) + mn/p + k\log{p^0.5})$ for small k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Nearest Neighbor Search,0.001,k Nearest Neighbors Search,,,,,,,,,,"Cyclic partitioning - Xiao, Biros (2)",2016,https://epubs.siam.org/doi/abs/10.1137/15M1026377,,,,,,,,"$O(mnd/p + m + n + mn/p \log{n/p})$ for large k
 $O(mnd/p + m + n + mn/p)$ for small k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Nearest Neighbor Search,0.001,,,,,,,,,,,"Ramasubramanian, Paliwal",1992,https://maxwell.ict.griffith.edu.au/spl/publications/papers/ieeesp92_ram.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Nearest Neighbor Search,0.001,k Nearest Neighbors Search,,,,,,,,,,"Berchtold, Bohm, Braunmuller, Keim, Kriegel",1997,https://dl.acm.org/doi/abs/10.1145/253262.253263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Nearest Neighbor Search,0.001,,,,,,,,,,,"Kumari, Maurya, Goyal, Balasubramaniam, Goyal",2016,https://ieeexplore.ieee.org/abstract/document/7839671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Nearest Neighbor Search,1,,,,,,,,,,,Goodrich,1985,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=1452&context=cstech,,,,,,,,$O(\log{n})$,$O(\log{n})$,,,$O(n)$,,,,"$n$: number of points
$k=1$: neighbors",,,,CREW PRAM,120,,,,,,,,,,,,,,,$O(n/ \log{n})$,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Nearest Neighbor Search,1,,,,,,,,,,,"Schieber, Vishkin",1990,https://www.sciencedirect.com/science/article/pii/0166218X9090084P,,,,,,,,$O(\log{\log{n}})$,$O(\log{\log{n}})$,,,$O(n)$,,,,"$n$: number of points
$k=1$: neighbors",,,,CRCW PRAM,130,,,,,,,,,,,,,,,$O(n/ \log{\log{n}})$,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Nearest Neighbor Search,1,k Nearest Neighbors Search,,,,,,,,,,"Callahan, Kosaraju",1995,https://dl.acm.org/doi/abs/10.1145/200836.200853,,,,,,,,$O(\log{n})$,$O(\log{n})$,,,$O(n \log{n})$,,,,"$n$: number of points
",,,,CREW PRAM,120,,,,,,,,,,,,,,,$O(n)$,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Nearest Neighbor Search,1,k Nearest Neighbors Search,,,,,,,,,,"Frieze, Miller, Teng",1992,https://dl.acm.org/doi/pdf/10.1145/140901.141934,,,,,,,,$O(\log{n})$,$O(\log{n})$,,,$O(n \log{n})$,,,,"$n$: number of points
",,,,CRCW PRAM,130,,,,,,,,,1,,,,,,$O(n)$,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Nearest Neighbor Search,0.001,k Nearest Neighbors Search,,,,,,,,,,"Best-First based Parallel kNN (BFPkNN) - Gao, Chen Chen, Chen",2006,https://link.springer.com/chapter/10.1007/11751649_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Nearest Neighbor Search,0.001,,,,,,,,,,,"Papadopoulos, Manolopoulos",1997,https://dl.acm.org/doi/pdf/10.1145/258319.258330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Nearest Neighbor Search,0.001,,,,,,,,,,,"Papadopoulos, Manolopoulos",1998,https://dl.acm.org/doi/pdf/10.1145/276305.276325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
