 ,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span/Depth,Span Encoding (T_1),Parallel Algorithm Span References,Parallel Algorithm Work,Work Encoding (T_inf),Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Model Encoding,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",# of Proc Encoding,Quantum?,GPU-based?,Other References,Problem Statement,Title,Authors,Notes,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
56,Topological Sorting,2,Topological Sorting,,,,1,1,O(1),,,"[https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=581703 Ma, Iwama, Takaoka, Gu (1991)]","Ma, Iwama, Takaoka, Gu",1991,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=581703,,,,0,0,#N/A,V: 2,O(log n),O(1),0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=581703,$O(n^3)$,16,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=581703,no,n: number of vertices,n,,,PARBS,600,words,#N/A,V: 5,O(V^2)??,"Their n*n*n cube setup seems to only require each processor to keep track of one entry A[i, j], B[i, j] and propagates the results across the structure, only requiring O(1) auxiliary space per processor. Comparison sorting can be done easily with O(1) auxiliary space per processor.",1,0,,0,,0,,0,1,O(n^3),30,0,0,,,,,,,,,,,,,,,,,,,,,,,,6,,,Combinatorics
56,Topological Sorting,0.001,Topological Sorting,,,,1,1,O(log n),,,[https://www.semanticscholar.org/paper/Parallel-algorithms%3A-design-and-analysis-Chaudhuri/b839df4f1527853960e4979d2066fbb07e3debe5 Chaudhuri (1992)],Chaudhuri,1992,https://www.semanticscholar.org/paper/Parallel-algorithms%3A-design-and-analysis-Chaudhuri/b839df4f1527853960e4979d2066fbb07e3debe5,,,,0,0,#N/A,V: 2,O(log n),O(log n),1,https://www.semanticscholar.org/paper/Parallel-algorithms%3A-design-and-analysis-Chaudhuri/b839df4f1527853960e4979d2066fbb07e3debe5,$O(n^3 logn)$,16.1,https://www.semanticscholar.org/paper/Parallel-algorithms%3A-design-and-analysis-Chaudhuri/b839df4f1527853960e4979d2066fbb07e3debe5,no,n: number of vertices,n,,,CRCW PRAM,130,words,#N/A,V: 5,O(V^2)??,"Their n*n*n cube setup seems to only require each processor to keep track of one entry A[i, j], B[i, j] and propagates the results across the structure, only requiring O(1) auxiliary space per processor. Comparison sorting can be done easily with O(1) auxiliary space per processor.",1,0,,0,,0,,0,1,O(n^3)?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,6,,,Combinatorics
56,Topological Sorting,1,Topological Sorting,,,,1,1,O(log n),,,"[https://link.springer.com/article/10.1023/A:1022080713267 Li, Pan, Shen (2003)]","Li, Pan, Shen",2003,https://link.springer.com/article/10.1023/A:1022080713267,,,,,,,,O(log n),O(log n),1,https://link.springer.com/article/10.1023/A:1022080713267,O(n^3),16,,no,"n: number of vertices
m: number of edges",n,,,CRCW PRAM,130,,,,,,,,,0,,0,,0,1,O(n^3/log n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Topological Sorting,1,Topological Sorting,,,,,,,,,[https://dl.acm.org/doi/pdf/10.1145/1378533.1378560 Schudy (2008)],Schudy,2008,https://dl.acm.org/doi/pdf/10.1145/1378533.1378560,,,,,,,,O(t poly(log n)),O((n^2/m)^(1/3)),0,https://dl.acm.org/doi/pdf/10.1145/1378533.1378560,O(m)?,,,no,"n: number of vertices
m: number of edges",n,,,CRCW PRAM?,130,,,,,,,,,1,Las Vegas,0,,0,1,mn/t^2,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,DFA Minimization,1,DFA Minimization,,,,1,1,O(log^2 n),,,"[https://ieeexplore.ieee.org/document/1743 JaJa, Kosaraju (1988)]","JaJa, Kosaraju",1988,https://ieeexplore.ieee.org/document/1743,,,,,,,,O(log^2 n),O(log^2 n),,https://ieeexplore.ieee.org/document/1743,O(n^6),,https://link.springer.com/chapter/10.1007/978-1-4613-3282-4_10,no,"$n$: number of states
$k$: size of alphabet",n,,,CREW PRAM,120,words,,,,,,,,0,,0,,0,1,O(n^6)?,,0,0,https://link.springer.com/chapter/10.1007/978-1-4613-3282-4_10,,,,,,,,,,,,,,,,,,,,,,,,,,
57,DFA Minimization,1,DFA Minimization,,,,1,1,O(log^2 n),,,"[https://www.sciencedirect.com/science/article/pii/002001909290095D Cho, Huynh (1992)]","Cho, Huynh",1992,https://www.sciencedirect.com/science/article/pii/002001909290095D,,,,,,,,O(log^2 n),O(log^2 n),,https://www.sciencedirect.com/science/article/pii/002001909290095D,O(n^6),,https://link.springer.com/chapter/10.1007/978-1-4613-3282-4_10,no,"$n$: number of states
$k$: size of alphabet",n,,,EREW PRAM,110,words,,,,,,,,0,,0,,0,1,O(n^6)?,,0,0,https://link.springer.com/chapter/10.1007/978-1-4613-3282-4_10,,,,,,,,,,,,,,,,,,,,,,,,,,
57,DFA Minimization,1,DFA Minimization,,,,1,1,O((kn log^2 n)/p),,,"[https://ieeexplore.ieee.org/abstract/document/508056 Ravikumar, Xiong (1996)]","Ravikumar, Xiong",1996,https://ieeexplore.ieee.org/abstract/document/508056,,,,,,,,"O((kn log n)*max(1, (log n)/p))",O(kn log n),,https://link.springer.com/chapter/10.1007/978-1-4613-3282-4_10,O(kn log^2 n),,https://link.springer.com/chapter/10.1007/978-1-4613-3282-4_10,yes,"$n$: number of states
$k$: size of alphabet
$p$: number of processors",n,,,EREW PRAM,110,words,,,,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,DFA Minimization,1,DFA Minimization,,,,1,1,O(kn log n),,,"[https://link.springer.com/chapter/10.1007/3-540-36265-7_4 Tewari, Srivastava, Gupta (2002)]","Tewari, Srivastava, Gupta",2002,https://link.springer.com/chapter/10.1007/3-540-36265-7_4,,,,,,,,O(kn log n),O(kn log n),,https://link.springer.com/chapter/10.1007/3-540-36265-7_4,O(kn^2),,https://link.springer.com/chapter/10.1007/3-540-36265-7_4,no,"$n$: number of states
$k$: size of alphabet",n,,,Arbitrary CRCW PRAM,131,words,,,,,,,,0,,0,,0,1,O(n/log n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,DFA Minimization,0.001,DFA Minimization,,,,1,1,,,,"[https://link.springer.com/chapter/10.1007/978-3-540-74282-1_9 Sun, Lu, Li, Wang (2007)]","Sun, Lu, Li, Wang",2007,https://link.springer.com/chapter/10.1007/978-3-540-74282-1_9,,,,,,,,,,,,,,,,"$n$: number of states
$k$: size of alphabet",n,,,,,words,,,,,,,,0,,0,,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,DFA Minimization,1,One-Letter-Alphabet DFA Minimization,,,,1,1,O(log^2 n),,,[https://www.tandfonline.com/doi/abs/10.1080/00207169008803810 Srikant (1988)],Srikant,1988,https://www.tandfonline.com/doi/abs/10.1080/00207169008803810,,,,,,,,O(log^2 n),O(log^2 n),,https://www.tandfonline.com/doi/abs/10.1080/00207169008803810,O(n log^2 n),,https://link.springer.com/chapter/10.1007/978-1-4613-3282-4_10,no,$n$: number of states,n,,,CREW PRAM,120,words,,,,,,,,0,,0,,0,1,O(n),,0,0,https://link.springer.com/chapter/10.1007/978-1-4613-3282-4_10,,,,,,,,,,,,,,,,,,,,,,,,,,
57,DFA Minimization,1,One-Letter-Alphabet DFA Minimization,,,,1,1,O(log n),,,"[https://core.ac.uk/download/pdf/81981274.pdf JaJa, Ryu (1993)]","JaJa, Ryu",1993,https://core.ac.uk/download/pdf/81981274.pdf,,,,,,,,O(log n),O(log n),,https://core.ac.uk/download/pdf/81981274.pdf,O(n log log n),,https://core.ac.uk/download/pdf/81981274.pdf,no,$n$: number of states,n,,,Arbitrary CRCW PRAM,131,words,,,,,,,,0,,0,,0,1,O((n log log n)/log n)?,,0,0,https://link.springer.com/chapter/10.1007/978-1-4613-3282-4_10,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Lowest Common Ancestor,1,,,,,1,1,O(ceil(m/(nK)) log n + n/K),,,"[https://epubs.siam.org/doi/abs/10.1137/0213036 Tsin, Chin (1984)]","Tsin, Chin",1984,https://epubs.siam.org/doi/abs/10.1137/0213036,,,,0,0,,,O(ceil(m/(nK)) log n + n/K),O(log n),1,https://epubs.siam.org/doi/abs/10.1137/0213036,O(m log n + n^2)?,,,,"n: number of vertices
m: number of total number of op.s (queries, links, cuts)
K: processor parameter",n,,,(SIMD-type) PRAM CREW,120,words,O(n) total (auxiliary?),n: 3,https://www.proquest.com/docview/919780720?pq-origsite=gscholar&fromopenview=true,,,,,0,,0,,0,1,nK,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Combinatorics
58,Lowest Common Ancestor,1,,,,,1,1,O(ceil((n+m)/p) log n),,,[https://ieeexplore.ieee.org/abstract/document/1676830 Tsin [Section 3] (1986)],Tsin [Section 3],1986,https://ieeexplore.ieee.org/abstract/document/1676830,,,,,,,,O(ceil((n+m)/p) log n),O(log n),1,,O(n^2)?,,,no,"n: number of vertices
m: number of total number of op.s (queries, links, cuts)
p: number of processors",n,,,(SIMD-type) PRAM CREW,120,words,O(n) total (auxiliary?),n: 3,https://www.proquest.com/docview/919780720?pq-origsite=gscholar&fromopenview=true,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Combinatorics
58,Lowest Common Ancestor,1,,,,,1,1,O(n^2/p + log n),,,[https://ieeexplore.ieee.org/abstract/document/1676830 Tsin [Section 4] (1986)],Tsin [Section 4],1986,https://ieeexplore.ieee.org/abstract/document/1676830,,,,,,,,O(n^2/p + log n),O(log n),1,,O(n^2)?,,,no,"n: number of vertices
m: number of total number of op.s (queries, links, cuts)
p: number of processors",n,,,(SIMD-type) PRAM CREW,120,words,O(n) total (auxiliary?),n: 3,https://www.proquest.com/docview/919780720?pq-origsite=gscholar&fromopenview=true,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Combinatorics
58,Lowest Common Ancestor,1,Lowest Common Ancestor with Static Trees,,,,1,1,O(m+log(n)),,,[https://epubs.siam.org/doi/abs/10.1137/0217079?journalCode=smjcat Schieber; Vishkin [Parallel] (1988)],Schieber; Vishkin [Parallel],1988,https://epubs.siam.org/doi/abs/10.1137/0217079?journalCode=smjcat,,,,0,0,,,O(m+log(n)),$O(m+\log(n))$,,https://epubs.siam.org/doi/epdf/10.1137/0217079,$O(m+n)$,,https://epubs.siam.org/doi/epdf/10.1137/0217079,no,"n: number of vertices
m: number of total number of op.s (queries, links, cuts)",n,,,EREW PRAM,110,words,O(n) total (auxiliary?),n: 3,https://www.proquest.com/docview/919780720?pq-origsite=gscholar&fromopenview=true,,,,,0,,0,,0,1,O(n/log n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Combinatorics
58,Lowest Common Ancestor,1,,,,,1,1,O(m*alpha(n)),,,"[https://apps.dtic.mil/sti/tr/pdf/ADA227803.pdf Berkman, Vishkin (1990)]","Berkman, Vishkin",1990,https://apps.dtic.mil/sti/tr/pdf/ADA227803.pdf,,,,0,0,,,O(m*alpha(n)),O(m*alpha(n)),,https://apps.dtic.mil/sti/tr/pdf/ADA227803.pdf,O(m + n),,https://apps.dtic.mil/sti/tr/pdf/ADA227803.pdf,no,"n: number of vertices
m: number of total number of op.s (queries, links, cuts)",n,,,Common CRCW PRAM,132,words,O(n) total (auxiliary?),n: 3,https://www.proquest.com/docview/919780720?pq-origsite=gscholar&fromopenview=true,,,,,0,,0,,0,1,O(n)?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Combinatorics
58,Lowest Common Ancestor,1,All-Pairs LCA,,,,1,1,O(log n),,,"[https://link.springer.com/chapter/10.1007/3-540-54029-6_194 Lin, Olariu (1991)]","Lin, Olariu",1991,https://link.springer.com/chapter/10.1007/3-540-54029-6_194,,,,0,0,,,O(log n),O(log n),1,https://link.springer.com/chapter/10.1007/3-540-54029-6_194,O(n^2),,https://link.springer.com/chapter/10.1007/3-540-54029-6_194,yes,n: number of vertices,n,,,EREW PRAM,110,words,O(n) total (auxiliary?),n: 3,https://www.proquest.com/docview/919780720?pq-origsite=gscholar&fromopenview=true,,,,,0,,0,,0,1,O(n^2/log n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Combinatorics
58,Lowest Common Ancestor,1,All-Pairs LCA,,,,1,1,O(log n),,,[https://www.sciencedirect.com/science/article/pii/002001909190082S Lin (1991)],Lin,1991,https://www.sciencedirect.com/science/article/pii/002001909190082S,,,,0,0,,,O(log n),O(log n),1,https://www.sciencedirect.com/science/article/pii/002001909190082S,O(n^2)?,,,no,n: number of vertices,n,,,PARBS,600,words,O(n) total (auxiliary?),n: 3,https://www.proquest.com/docview/919780720?pq-origsite=gscholar&fromopenview=true,,,,,0,,0,,0,1,O(n^2),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Combinatorics
58,Lowest Common Ancestor,1,Single-Pair LCA,,,,1,1,O(log n),,,"[https://ieeexplore.ieee.org/abstract/document/288276 Das, Halverson, Min (1994)]","Das, Halverson, Min",1994,https://ieeexplore.ieee.org/abstract/document/288276,,,,0,0,,,O(log n),O(log n),1,https://ieeexplore.ieee.org/abstract/document/288276,O(n),,,no,n: number of vertices,n,,,EREW PRAM,110,words,O(n) total (auxiliary?),n: 3,https://www.proquest.com/docview/919780720?pq-origsite=gscholar&fromopenview=true,,,,,0,,0,,0,1,O(n/log n),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Combinatorics
58,Lowest Common Ancestor,1,,,,,1,1,"O(m/p + r log p + min(m, r log n))",,,[https://link.springer.com/chapter/10.1007/3-540-58218-5_28 Schenk (1994)],Schenk,1994,https://link.springer.com/chapter/10.1007/3-540-58218-5_28,,,,0,0,,,"O(m/p + r log p + min(m, r log n))",O(m/n + r log n)?,,,O(m + r)?,,,no,"n: number of vertices
m: number of total number of op.s (queries, links, cuts)
p: number of processors
r: number of rounds",n,,,CREW PRAM,120,words,O(n) total (auxiliary?),n: 3,https://www.proquest.com/docview/919780720?pq-origsite=gscholar&fromopenview=true,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Combinatorics
58,Lowest Common Ancestor,0.001,,,,,1,1,,,,[https://academic.oup.com/proteincell/article/3/2/148/6874195 Zhao et. al. (2012)],Zhao et. al.,2012,https://academic.oup.com/proteincell/article/3/2/148/6874195,,,,0,0,,,,,,,,,,,"n: number of vertices
m: number of total number of op.s (queries, links, cuts)",n,,,,,words,O(n) total (auxiliary?),n: 3,https://www.proquest.com/docview/919780720?pq-origsite=gscholar&fromopenview=true,,,,,0,,0,,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Combinatorics
58,Lowest Common Ancestor,0.001,Lowest Common Ancestor with Static Trees,,,,1,1,O(m*log(h)),,,[https://www.schoolofhaskell.com/user/edwardk/online-lca Kmett (2015)],Kmett,2015,https://www.schoolofhaskell.com/user/edwardk/online-lca,,,,0,0,,,O(m*log(h)),,,,,,,,"n: number of vertices
m: number of total number of op.s (queries, links, cuts)
h: height of tree",,,,Word RAM,100,words,,,,,,,,0,,0,,0,1,O(n/log n),,0,0,,,,,Has an implimentation.,,,,,,,,,,,,,,,,,,,,,,Combinatorics
59,Graph Edit Distance Computation,0,,,,,,,,,,,"Abu-Aisheh, Raveaux, Ramel, Martineau",2018,https://www.sciencedirect.com/science/article/pii/S095741741730725X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Graph Edit Distance Computation,0,,,,,,,,,,,"Wang, Fang, Feng",2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8750933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Graph Edit Distance Computation,0,,,,,,,,,,,Kim,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9205828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Clique Problems,1,"Enumerating Maximal Cliques, arbitrary graph",,,,,,,,,,"Dahlhaus, Karpinski",1988,https://link.springer.com/chapter/10.1007/3-540-19487-8_16,,,,,,,,$O(\log^3{nM})$,$O(\log^3{nM})$,,,$O(M^6 n^2 \log^3{nM})$,,,,"$n$: number of vertices
 $M$: number of cliques",,,,CREW PRAM,120,,,,,,,,,,,,,,1,$O(M^6 n^2)$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.4,Clique Problems,0.001,Max-Weight k-Clique,,,,,,,,,,"Lee, Funabiki, Cho, Takefuji",1991,https://www.researchgate.net/profile/Yoshiyasu-Takefuji/publication/224650097_A_parallel_neural_network_computing_for_the_maximum_clique_problem/links/5b41ee69458515f71cb18f5d/A-parallel-neural-network-computing-for-the-maximum-clique-problem.pdf,,,,,,,,,,,,,,,,,,,,maximum neural network (a new proposed model for large scale clique problems),600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.4,Clique Problems,0.001,Max-Weight k-Clique,,,,,,,,,,Lin,1993,https://ieeexplore.ieee.org/abstract/document/394285,,,,,,,,,,,,,,,,,,,,maximum neural network,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.4,Clique Problems,0.001,Max-Weight k-Clique,,,,,,,,,,"Pardalos, Rappe, Resende",1998,https://link.springer.com/chapter/10.1007/978-1-4613-3279-4_18,,,,,,,,,,,,,,,,,,,,MPI,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.4,Clique Problems,0.001,Max-Weight k-Clique,,,,,,,,,,"Wang, Tang, Cao",2003,https://ieeexplore.ieee.org/abstract/document/6790173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Clique Problems,0.001,"Enumerating Maximal Cliques, arbitrary graph",,,,,,,,,,"Du, Wu, Xu, Wang, Pei",2006,https://ieeexplore.ieee.org/abstract/document/4063647,,,,,,,,"$O((\delta * M_c * Tri^2)/p)$ ""time delay"" ?
",,,,,,,,"$\delta$: max degree
$M_c$: size of maximum clique
$Tri$: number of all triangles",,,,,,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Clique Problems,0.001,"Enumerating Maximal Cliques, arbitrary graph",,,,,,,,,,"Schmidt, Samatova, Thomas, Park",2009,https://www.sciencedirect.com/science/article/pii/S0743731509000082,,,,,,,,,,,,,,,,,,,,distributed and/or shared memory high performance computing architectures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Clique Problems,0.001,"Enumerating Maximal Cliques, arbitrary graph",,,,,,,,,,"Cheng, Zhu, Ke, Chu",2012,https://dl.acm.org/doi/abs/10.1145/2339530.2339724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.4,Clique Problems,0.001,Max-Weight k-Clique,,,,,,,,,,"Depolli, Konc, Rozman, Trobec, Janezic",2013,https://pubs.acs.org/doi/full/10.1021/ci4002525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.4,Clique Problems,0.001,,,,,,,,,,,"Xiang, Guo, Aboulnaga",2013,https://ieeexplore.ieee.org/abstract/document/6544815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Clique Problems,0.001,"Enumerating Maximal Cliques, arbitrary graph",,,,,,,,,,"Chen, You, Li, Ives",2014,https://wowbigdata.cn/paper/clique.pdf,,,,,,,,O(|E| mu),,,,O(|E| mu) ??,,,,"|E|: number of edges
mu: number of cliques",,,,BSP; MapReduce model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Clique Problems,0.001,"Enumerating Maximal Cliques, arbitrary graph",,,,,,,,,,"Svendsen, Mukherjee, Tirthapura",2015,https://www.sciencedirect.com/science/article/pii/S0743731514001531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.4,Clique Problems,0.001,Max-Weight k-Clique,,,,,,,,,,"El Baz, Hifi, Wu, Shi",2016,https://ieeexplore.ieee.org/abstract/document/7529942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Clique Problems,0.001,"Enumerating Maximal Cliques, arbitrary graph",,,,,,,,,,"Lessley, Perciano, Mathai, Childs, Bethel",2017,https://ieeexplore.ieee.org/abstract/document/8231847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.4,Clique Problems,0.001,Max-Weight k-Clique,,,,,,,,,,"Lu, Yu, Wei, Zhang",2017,https://dl.acm.org/doi/abs/10.14778/3137628.3137660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.4,Clique Problems,0,Max-Weight k-Clique,,,,,,,,,,"Kiziloz, Dokeroglu",2018,https://www.sciencedirect.com/science/article/abs/pii/S0360835218300548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Clique Problems,1,"Enumerating Maximal Cliques, arbitrary graph",,,,,,,,,,"Das, Sanei-Mehri, Tirthapura",2018,https://ieeexplore.ieee.org/abstract/document/8638066,,,,,,,,$O(3^{n/3}/(M \log{n}) +P)$,$O(M \log{n})$,,,$O(3^{n/3})$,,,,"n: number of vertices
M: size of maximum clique
p: number of processors
",,,,shared memory (CRCW PRAM),130,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.1,Clique Problems,0.001,k-Clique,,,,,,,,,,Garcia,2019,https://iris.uniroma1.it/bitstream/11573/1283982/1/Tesi_dottorato_Renan.pdf,,,,,,,,$O(k m)$ ?,$O(k m)$,,,$O(m^{k/2})$,,,,"m: number of edges
k: required clique size",,,,fork/join shared memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Clique Problems,0.001,"Enumerating Maximal Cliques, arbitrary graph",,,,,,,,,,"Hua, Zhong, Liu, Wang",2020,https://iopscience.iop.org/article/10.1088/1757-899X/790/1/012076/meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.4,Clique Problems,0.001,Max-Weight k-Clique,,,,,,,,,,"Sevinc, Dokeroglu",2020,https://link.springer.com/article/10.1007/s00500-019-04122-z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.4,Clique Problems,0,Max-Weight k-Clique,,,,,,,,,,"Shimizu, Yamaguchi, Masuda",2021,https://www.sciencedirect.com/science/article/abs/pii/S1572528621000256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.4,Clique Problems,0.001,Max-Weight k-Clique,,,,,,,,,,"Kadivar, Mohammadi",2023,https://www.researchsquare.com/article/rs-3111268/v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Clique Problems,0.001,"Enumerating Maximal Cliques, arbitrary graph",,,,,,,,,,"Kose, Weckwerth, Linke, Fiehn",2001,https://academic.oup.com/bioinformatics/article/17/12/1198/225504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,The Traveling-Salesman Problem,0.001,,,,,1,1,,,,,"Burkhovetskiy, Steinberg",2017,https://www.sciencedirect.com/science/article/pii/S187705091732375X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,The Traveling-Salesman Problem,0.001,,,,,1,,,,,,Mohan,1983,https://www.osti.gov/biblio/5214576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Experience with two parallel programs solving the traveling salesman problem,J. Mohan,,,,,,,,,,,,,,,,,,,,,,,
61,The Traveling-Salesman Problem,0.001,,,,,1,1,,,,,,1990,https://dl.acm.org/doi/pdf/10.1145/100348.100358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Parallel Branch and Bound Algorithm For Solving Large Asymmetrlc l?aveling Salesman Problems,"Joseph F. Pekny, Donald L. Miller  ",,,,,,,,,,,,,,,,,,,,,,,
61,The Traveling-Salesman Problem,0.001,,,,,1,1,,,,,,1988,https://www.sciencedirect.com/science/article/abs/pii/0167637788900673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRANCH-AND-BOUND AND PARALLEL COMPUTATION: A HISTORICAL NOTE ,E.A. PRUUL and G.L. NEMHAUSER,,,,,,,,,,,,,,,,,,,,,,,
61,The Traveling-Salesman Problem,0.001,,,,,1,1,,,,,,1986,https://link.springer.com/article/10.1007/BF01939360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN UPPER BOUND FOR THE SPEEDUP OF PARALLEL BEST-BOUND BRANCH-AND-BOUND ALGORITHMS t,"MJ Quinn, N Deo",Analizes Mohan,,,,,,,,,,,,,,,,,,,,,,
62,Poisson Problem,0.001,2-Dimensional Poisson Problem,,,,1,1,O(n^3/p)?,,,[https://ieeexplore.ieee.org/document/5009160 Buzbee [SOR] (1973)],Buzbee [SOR],1973,https://ieeexplore.ieee.org/document/5009160,,,,,,,,O(n^3/p)?,O(n)?,,,O(n^3),,https://ieeexplore.ieee.org/document/5009160,,"n: dimension of grid (where grid is discretized)
p: number of processors",n,,,,,words,,,,,,,,0,,0,,0,1,p,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
